"STATION_ADDR1","STATION_ID","STATION_LATITUDE","STATION_LONGITUDE"
"서울특별시 반포동 20-44","ST-1159",0,0
"서울특별시 중구 정동길 2-1","ST-116",37.56805038,126.9692307
"서울특별시 서초동 1389","ST-1160",37.50231934,127.0222702
"서울특별시 잠원동 91-29","ST-1161",37.51034927,127.0160523
"서울특별시 신원동 266","ST-1162",37.44896698,127.0577393
"서울특별시 서초구 방배로 162","ST-1163",37.48786545,126.9942932
"서울특별시 서초동 1748-33","ST-1164",37.4873085,127.010582
"서울특별시 양재동 67-12","ST-1165",37.47782898,127.038269
"서울특별시 양재동 316-11","ST-1166",37.46965027,127.0396118
"서울특별시 염곡동 260-1","ST-1167",37.46157837,127.0487976
"서울특별시 양재동 261-23","ST-1168",37.47438812,127.0389023
"서울특별시 잠원동 84-3","ST-1169",37.51486969,127.0152817
"서울특별시 종로구 사직로 지하130","ST-117",37.57579422,126.9714508
"서울특별시 강남구 신사동 580-7","ST-1170",37.52684402,127.0282593
"서울특별시 강남구 신사동 501-5","ST-1171",37.51763535,127.0224533
"서울특별시 강남구 도산대로 172","ST-1172",37.51913834,127.0275192
"서울특별시 강남구 도산대로 229 ","ST-1173",37.52124023,127.0318985
"서울특별시 강남구 도산대로 333 ","ST-1174",37.52330017,127.038475
"서울특별시 강남구 언주로 536","ST-1176",0,0
"서울특별시 강남구 도곡동 874-1","ST-1177",37.48934174,127.0412979
"서울특별시 강남구 대치동 1011","ST-1178",37.50542831,127.0528717
"서울특별시 강남구 대치동 1026","ST-1179",37.49655151,127.0542984
"서울특별시 종로구 사직로 지하130","ST-118",37.57594681,126.9740601
"서울특별시 강남구 언주로 651","ST-1180",37.51474762,127.0351334
"서울특별시 강남구 삼성로 156 ","ST-1181",37.49449921,127.063797
"서울특별시 강남구 개포동 181-3","ST-1182",37.48927689,127.0655747
"서울특별시 강남구 수서동 728","ST-1184",37.48735046,127.1009979
"서울특별시 강남구 수서동 740","ST-1185",37.48677826,127.1005173
"서울특별시 강남구 수서동 724-4","ST-1186",37.48683548,127.1027527
